NAME,TYPE,LAT,LON,ELEV,STATUS,LOCATION,NUMBER
Abu Volcano Group,Shields,34.5,131.6,641,Active,Honshū,283001
Niijima,Lava domes,34.397,139.27,432,Active,Izu Islands,284020
Adatarayama,Stratovolcanoes,37.647,140.281,1728,Active,Honshū,283170
Kurikomayama,Stratovolcano,38.961,140.788,1627,Active,Honshū,283210
Kusatsu-Shiranesan,Stratovolcanoes,36.618,138.528,2165,Active,Honshū,283120
Aira,Caldera,31.593,130.657,1117,Extinct,Kyūshū,282080
Bandaisan,Stratovolcano,37.601,140.072,1816,Active,Honshū,283160
Taisetsuzan,Stratovolcanoes,43.664,142.854,2291,Active,Hokkaidō,285060
Kozushima,Lava domes,34.219,139.153,572,Active,Izu Islands,284030
Asosan,Caldera,32.884,131.104,1592,Active,Kyūshū,282110
Zaozan,Stratovolcanoes,38.144,140.44,1841,Active,Honshū,283190
Akagisan,Stratovolcano,36.56,139.193,1828,Active,Honshū,283130
Hakusan,Stratovolcano,36.155,136.771,2702,Active,Honshū,283050
Ontakesan,Stratovolcano,35.893,137.48,3067,Active,Honshū,283040
Osorezan,Stratovolcano,41.279,141.12,878,Active,Honshū,283290
Nikko-Shiranesan,Shield,36.799,139.376,2578,Active,Honshū,283140
Towada,Caldera,40.51,140.88,1011,Active,Honshū,283271
Kujusan,Stratovolcanoes,33.086,131.249,1791,Active,Kyūshū,282120
Tokachidake,Stratovolcanoes,43.418,142.686,2077,Active,Honshū,285050
Kirishimayama,Shield,31.934,130.862,1700,Active,Kyūshū,282090
Azumayama,Stratovolcanoes,37.735,140.244,1949,Active,Honshū,283180
Toshima,Stratovolcano,34.52,139.279,508,Active,Izu Islands,284011
Midagahara,Stratovolcano,36.571,137.59,2621,Active,Honshū,283080
Fujisan,Stratovolcano,35.361,138.728,3776,Active,Honshū,283030
Hachijojima,Stratovolcanoes,33.137,139.766,854,Active,Izu Islands,284050
Izu-Oshima,Stratovolcano,34.724,139.394,758,Active,Izu Islands,284010
Hiuchigatake,Stratovolcano,36.955,139.285,2356,Active,Honshū,283131
Mikurajima,Stratovolcano,33.874,139.602,851,Active,Izu Islands,284041
Shiretoko-Iozan,Stratovolcano,44.133,145.161,1562,Extinct,Hokkaidō,285090
Akan,Caldera,43.384,144.013,1499,Extinct,Hokkaidō,285070
Nasudake,Stratovolcanoes,37.125,139.963,1915,Active,Honshū,283150
Minami-Hiyoshi,Submarine,23.5,141.935,-107,Active,Ogasawara Archipelago,284131
Fukutoku-Oka-no-Ba,Submarine,24.285,141.481,-29,Active,Ogasawara,284130
Kuchinoshima,Stratovolcanoes,29.968,129.926,628,Active,Nansei Islands,282043
Miyakejima,Stratovolcano,34.094,139.526,775,Active,Izu Islands,284040
Oki-Dogo,Shield,36.176,133.334,151,Extinct,Honshū,283003
Esan,Lava domes,41.805,141.166,618,Active,Hokkaidō,285011
Akusekijima,Stratovolcanoes,29.465,129.594,555,Extinct,Nansei Islands,282022
Omanago Group,Lava domes,36.795,129.507,2341,Extinct,Honshū,283142
Izu-Torishima,Stratovolcano,30.484,140.303,394,Active,Izu Islands,284090
Iwatesan,Caldera,39.853,141.001,2038,Active,Honshū,283240
Ata,Calderas,31.22,130.57,924,Extinct,Kyūshū,282070
Suwanosejima,Stratovolcanoes,29.638,129.714,796,Active,Nansei Islands,282030
Mokuyo Seamount,Submarine,28.327,140.572,-933,Extinct,Ogasawara Archipelago,284094
Ioto,Caldera,24.751,141.289,169,Active,Ogasawara Archipelago,284120
Yufu-Tsurumi,Lava domes,33.282,131.39,1584,Active,Kyūshū,282130
Kita-Bayonnaise,Submarine,32.1,139.85,-360,Active,Izu Islands,284061
Myojinsho,Submarine,31.888,139.918,11,Extinct,Izu Islands,284070
Unzendake,Stratovolcanoes,32.761,130.299,1483,Active,Kyūshū,282100
Myokosan,Stratovolcano,36.891,138.114,2454,Active,Honshū,283100
Chokaisan,Stratovolcanoes,39.099,140.049,2236,Active,Honshū,283220
Izu-Tobu,Pyroclastic cone,34.9,139.098,1406,Active,Honshū,283010
Toya,Stratovolcano,42.544,140.839,733,Extinct,Hokkaidō,285030
Kussharo,Caldera,43.615,144.427,574,Extinct,Hokkaidō,285080
Nakanoshima,Stratovolcanoes,29.859,129.857,979,Active,Nansei Islands,282040
Yakedake,Stratovolcanoes,36.227,137.587,2455,Active,Honshū,283070
Akita-Komagatake,Stratovolcanoes,39.761,140.799,1637,Active,Honshū,283230
Nantaisan,Stratovolcano,36.765,139.491,2486,Extinct,Honshū,283141
Naruko,Caldera,38.729,140.734,470,Active,Honshū,283200
Niigata-Yakeyama,Lava dome,36.921,138.036,2400,Active,Honshū,283090
Yoteizan,Stratovolcano,42.827,140.812,1888,Active,Hokkaidō,285032
Yonemaru-Sumiyoshiike,Maars,31.771,130.592,40,Active,Kyūshū,282081
Yokodake,Stratovolcanoes,36.087,138.32,2480,Active,Honshū,283031
